Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_232058_20130407_20200912_02_T1,LC08_L1TP_232058_20130407_20200912_02_T1,LC82320582013097LGN02,2013/04/07,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-07 14:16:57.234671,2013-04-07 14:17:27.030692,LGN,DAY,  43.11,  43.11,207,5,    7.927,    5.396,    5.806,LPGS_15.3.1c,63.19963748,80.11003425,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.72"N,60°22'44.80"W,3°52'56.53"N,61°22'01.92"W,3°52'34.32"N,59°23'09.60"W,1°53'56.98"N,61°22'12.11"W,1°53'46.10"N,59°23'32.10"W,  2.89270, -60.37911,  3.88237, -61.36720,  3.87620, -59.38600,  1.89916, -61.37003,  1.89614, -59.39225,LC08_L2SP_232058_20130407_20200912_02_T1,LC82320582013097LGN02
LC08_L2SP_231058_20130414_20200912_02_T1,LC08_L1TP_231058_20130414_20200912_02_T1,LC82310582013104LGN02,2013/04/14,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-14 14:12:54.811179,2013-04-14 14:13:24.607199,LGN,DAY,  70.12,  70.12,108,5,    8.242,    6.180,    5.454,LPGS_15.3.1c,63.22961250,74.30241060,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.54"N,59°19'49.94"W,3°52'38.28"N,60°20'52.40"W,3°52'58.51"N,58°19'13.26"W,1°53'48.05"N,60°20'31.52"W,1°53'57.91"N,58°19'05.02"W,  2.89265, -59.33054,  3.87730, -60.34789,  3.88292, -58.32035,  1.89668, -60.34209,  1.89942, -58.31806,LC08_L2SP_231058_20130414_20200912_02_T1,LC82310582013104LGN02
LC08_L2SP_231058_20130516_20200913_02_T2,LC08_L1GT_231058_20130516_20200913_02_T2,LC82310582013136LGN02,2013/05/16,T2,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-16 14:13:04.856469,2013-05-16 14:13:34.652489,LGN,DAY,  99.97,  99.97,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,60.52607865,54.50975117,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.47"N,59°20'55.32"W,3°52'38.03"N,60°21'50.65"W,3°52'58.40"N,58°20'11.62"W,1°53'47.94"N,60°21'29.66"W,1°53'57.88"N,58°20'03.26"W,  2.89263, -59.34870,  3.87723, -60.36407,  3.88289, -58.33656,  1.89665, -60.35824,  1.89941, -58.33424,LC08_L2SP_231058_20130516_20200913_02_T2,LC82310582013136LGN02
LC08_L2SP_232058_20130523_20200913_02_T1,LC08_L1TP_232058_20130523_20200913_02_T1,LC82320582013143LGN02,2013/05/23,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-23 14:19:19.052637,2013-05-23 14:19:48.848657,LGN,DAY,  16.47,  16.47,342,5,    8.073,    5.738,    5.679,LPGS_15.3.1c,59.68696490,52.11030291,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.14"N,60°54'14.51"W,3°52'49.94"N,61°54'46.40"W,3°52'31.80"N,59°53'25.55"W,1°53'58.52"N,61°54'53.17"W,1°53'49.63"N,59°53'44.92"W,  2.89254, -60.90403,  3.88054, -61.91289,  3.87550, -59.89043,  1.89959, -61.91477,  1.89712, -59.89581,LC08_L2SP_232058_20130523_20200913_02_T1,LC82320582013143LGN02
LC08_L2SP_232058_20130608_20200912_02_T1,LC08_L1TP_232058_20130608_20200912_02_T1,LC82320582013159LGN01,2013/06/08,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-08 14:19:18.008458,2013-06-08 14:19:47.804478,LGN,DAY,  71.05,  71.05,121,5,    9.060,    6.052,    6.742,LPGS_15.3.1c,58.01388772,49.13309285,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.84"N,60°53'27.13"W,3°52'49.87"N,61°53'57.77"W,3°52'31.66"N,59°52'46.70"W,1°53'58.49"N,61°54'04.64"W,1°53'49.56"N,59°53'06.14"W,  2.89301, -60.89087,  3.88052, -61.89938,  3.87546, -59.87964,  1.89958, -61.90129,  1.89710, -59.88504,LC08_L2SP_232058_20130608_20200912_02_T1,LC82320582013159LGN01
LC08_L2SP_231058_20130617_20200912_02_T1,LC08_L1TP_231058_20130617_20200912_02_T1,LC82310582013168LGN01,2013/06/17,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-17 14:13:02.762772,2013-06-17 14:13:32.558792,LGN,DAY,  64.86,  64.86,94,5,    7.382,    4.989,    5.441,LPGS_15.3.1c,57.37602265,48.82318544,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.26"N,59°19'23.20"W,3°52'38.42"N,60°20'13.56"W,3°52'58.55"N,58°18'44.10"W,1°53'48.12"N,60°19'52.72"W,1°53'57.95"N,58°18'35.89"W,  2.89285, -59.32311,  3.87734, -60.33710,  3.88293, -58.31225,  1.89670, -60.33131,  1.89943, -58.30997,LC08_L2SP_231058_20130617_20200912_02_T1,LC82310582013168LGN01
LC08_L2SP_232058_20130624_20200912_02_T1,LC08_L1TP_232058_20130624_20200912_02_T1,LC82320582013175LGN01,2013/06/24,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-06-24 14:19:12.348196,2013-06-24 14:19:42.144216,LGN,DAY,  42.23,  42.23,147,5,    8.130,    5.812,    5.684,LPGS_15.3.1c,57.08996873,49.17662054,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.22"N,60°51'36.68"W,3°52'49.73"N,61°52'10.78"W,3°52'31.26"N,59°50'59.86"W,1°53'58.42"N,61°52'17.83"W,1°53'49.38"N,59°51'19.48"W,  2.89256, -60.86019,  3.88048, -61.86966,  3.87535, -59.84996,  1.89956, -61.87162,  1.89705, -59.85541,LC08_L2SP_232058_20130624_20200912_02_T1,LC82320582013175LGN01
LC08_L2SP_231058_20130703_20200912_02_T1,LC08_L1TP_231058_20130703_20200912_02_T1,LC82310582013184LGN01,2013/07/03,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-03 14:13:03.426907,2013-07-03 14:13:35.196903,LGN,DAY,  47.60,  47.60,330,5,    6.834,    4.753,    4.911,LPGS_15.3.1c,57.02103184,50.33806202,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.40"N,59°19'27.26"W,3°56'12.77"N,60°21'12.67"W,3°56'33.50"N,58°18'05.51"W,1°50'13.42"N,60°20'50.50"W,1°50'23.06"N,58°17'56.90"W,  2.89261, -59.32424,  3.93688, -60.35352,  3.94264, -58.30153,  1.83706, -60.34736,  1.83974, -58.29914,LC08_L2SP_231058_20130703_20200912_02_T1,LC82310582013184LGN01
LC08_L2SP_232058_20130710_20200912_02_T1,LC08_L1TP_232058_20130710_20200912_02_T1,LC82320582013191LGN01,2013/07/10,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-10 14:19:14.900972,2013-07-10 14:19:46.670968,LGN,DAY,  76.75,  76.75,169,5,    7.699,    5.306,    5.579,LPGS_15.3.1c,57.20901803,51.76166673,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.58"N,60°52'11.10"W,3°56'24.76"N,61°53'28.32"W,3°56'05.82"N,59°50'39.62"W,1°50'23.53"N,61°53'35.63"W,1°50'14.71"N,59°51'00.47"W,  2.89294, -60.86975,  3.94021, -61.89120,  3.93495, -59.84434,  1.83987, -61.89323,  1.83742, -59.85013,LC08_L2SP_232058_20130710_20200912_02_T1,LC82320582013191LGN01
LC08_L2SP_231058_20130719_20200912_02_T1,LC08_L1TP_231058_20130719_20200912_02_T1,LC82310582013200LGN01,2013/07/19,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-19 14:13:02.420779,2013-07-19 14:13:34.190775,LGN,DAY,  50.81,  50.81,340,5,    7.028,    5.010,    4.928,LPGS_15.3.1c,57.75903234,54.22522779,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.08"N,59°18'58.75"W,3°56'12.91"N,60°20'43.51"W,3°56'33.54"N,58°17'36.35"W,1°50'13.45"N,60°20'21.41"W,1°50'23.10"N,58°17'27.78"W,  2.89280, -59.31632,  3.93692, -60.34542,  3.94265, -58.29343,  1.83707, -60.33928,  1.83975, -58.29105,LC08_L2SP_231058_20130719_20200912_02_T1,LC82310582013200LGN01
LC08_L2SP_232058_20130726_20200912_02_T2,LC08_L1GT_232058_20130726_20200912_02_T2,LC82320582013207LGN01,2013/07/26,T2,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-07-26 14:19:14.357126,2013-07-26 14:19:46.127122,LGN,DAY,  93.67,  93.67,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,58.41300567,56.63614191,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.32"N,60°51'52.88"W,3°56'24.72"N,61°53'08.84"W,3°56'05.75"N,59°50'20.22"W,1°50'23.53"N,61°53'16.22"W,1°50'14.68"N,59°50'41.06"W,  2.89259, -60.86469,  3.94020, -61.88579,  3.93493, -59.83895,  1.83987, -61.88784,  1.83741, -59.84474,LC08_L2SP_232058_20130726_20200912_02_T2,LC82320582013207LGN01
LC08_L2SP_231058_20130804_20200912_02_T1,LC08_L1TP_231058_20130804_20200912_02_T1,LC82310582013216LGN01,2013/08/04,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-08-04 14:13:05.284068,2013-08-04 14:13:37.054064,LGN,DAY,  28.96,  28.96,388,5,    6.709,    4.773,    4.715,LPGS_15.3.1c,59.49302978,60.40202296,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.76"N,59°19'37.74"W,3°56'12.73"N,60°21'22.39"W,3°56'33.50"N,58°18'15.23"W,1°50'13.38"N,60°21'00.18"W,1°50'23.06"N,58°18'06.62"W,  2.89271, -59.32715,  3.93687, -60.35622,  3.94264, -58.30423,  1.83705, -60.35005,  1.83974, -58.30184,LC08_L2SP_231058_20130804_20200912_02_T1,LC82310582013216LGN01
LC08_L2SP_232058_20130811_20200912_02_T1,LC08_L1TP_232058_20130811_20200912_02_T1,LC82320582013223LGN01,2013/08/11,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-08-11 14:19:16.021315,2013-08-11 14:19:47.791311,LGN,DAY,  59.29,  59.29,184,5,    8.688,    6.257,    6.027,LPGS_15.3.1c,60.47779142,63.88567710,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.37"N,60°52'18.66"W,3°56'24.76"N,61°53'38.04"W,3°56'05.86"N,59°50'49.34"W,1°50'23.53"N,61°53'45.35"W,1°50'14.75"N,59°51'10.15"W,  2.89288, -60.87185,  3.94021, -61.89390,  3.93496, -59.84704,  1.83987, -61.89593,  1.83743, -59.85282,LC08_L2SP_232058_20130811_20200912_02_T1,LC82320582013223LGN01
LC08_L2SP_231058_20130820_20200913_02_T1,LC08_L1TP_231058_20130820_20200913_02_T1,LC82310582013232LGN01,2013/08/20,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/13,2020/09/13,2013-08-20 14:13:06.546207,2013-08-20 14:13:38.316203,LGN,DAY,  17.50,  17.50,487,5,    6.739,    4.765,    4.765,LPGS_15.3.1c,61.84695713,69.12501067,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.79"N,59°20'03.98"W,3°56'12.62"N,60°21'51.52"W,3°56'33.47"N,58°18'34.70"W,1°50'13.34"N,60°21'29.27"W,1°50'23.06"N,58°18'26.03"W,  2.89272, -59.33444,  3.93684, -60.36431,  3.94263, -58.30964,  1.83704, -60.35813,  1.83974, -58.30723,LC08_L2SP_231058_20130820_20200913_02_T1,LC82310582013232LGN01
LC08_L2SP_232058_20130827_20200912_02_T1,LC08_L1TP_232058_20130827_20200912_02_T1,LC82320582013239LGN01,2013/08/27,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-08-27 14:19:18.410251,2013-08-27 14:19:50.180246,LGN,DAY,  13.39,  13.39,566,5,    7.163,    5.125,    5.004,LPGS_15.3.1c,62.91998766,73.84926787,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.61"N,60°53'10"W,3°56'24.83"N,61°54'26.68"W,3°56'06.04"N,59°51'37.91"W,1°50'23.57"N,61°54'33.91"W,1°50'14.82"N,59°51'58.64"W,  2.89267, -60.88611,  3.94023, -61.90741,  3.93501, -59.86053,  1.83988, -61.90942,  1.83745, -59.86629,LC08_L2SP_232058_20130827_20200912_02_T1,LC82320582013239LGN01
LC08_L2SP_231058_20130905_20200912_02_T1,LC08_L1TP_231058_20130905_20200912_02_T1,LC82310582013248LGN01,2013/09/05,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-09-05 14:13:06.643023,2013-09-05 14:13:38.413019,LGN,DAY,  24.77,  24.77,312,5,    7.488,    5.138,    5.446,LPGS_15.3.1c,64.18109692,80.78299239,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.68"N,59°20'26.09"W,3°56'12.55"N,60°22'10.92"W,3°56'33.40"N,58°19'03.86"W,1°50'13.31"N,60°21'48.67"W,1°50'23.03"N,58°18'55.15"W,  2.89269, -59.34058,  3.93682, -60.36970,  3.94261, -58.31774,  1.83703, -60.36352,  1.83973, -58.31532,LC08_L2SP_231058_20130905_20200912_02_T1,LC82310582013248LGN01
LC08_L2SP_232058_20130912_20200913_02_T1,LC08_L1TP_232058_20130912_20200913_02_T1,LC82320582013255LGN01,2013/09/12,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/13,2020/09/13,2013-09-12 14:19:15.270894,2013-09-12 14:19:47.04089,LGN,DAY,  77.51,  77.51,238,5,    8.378,    6.265,    5.562,LPGS_15.3.1c,64.97909649,86.81777776,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.40"N,60°52'50.77"W,3°56'24.79"N,61°54'07.20"W,3°56'05.96"N,59°51'18.50"W,1°50'23.57"N,61°54'14.47"W,1°50'14.78"N,59°51'39.24"W,  2.89261, -60.88077,  3.94022, -61.90200,  3.93499, -59.85514,  1.83988, -61.90402,  1.83744, -59.86090,LC08_L2SP_232058_20130912_20200913_02_T1,LC82320582013255LGN01
LC08_L2SP_232058_20130928_20200912_02_T1,LC08_L1TP_232058_20130928_20200912_02_T1,LC82320582013271LGN01,2013/09/28,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-09-28 14:19:07.700897,2013-09-28 14:19:39.470893,LGN,DAY,  52.22,  52.22,277,5,    8.035,    5.676,    5.687,LPGS_15.3.1c,65.81177926,101.98512089,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.47"N,60°51'39.35"W,3°56'24.72"N,61°52'59.12"W,3°56'05.71"N,59°50'10.50"W,1°50'23.53"N,61°53'06.50"W,1°50'14.68"N,59°50'31.38"W,  2.89263, -60.86093,  3.94020, -61.88309,  3.93492, -59.83625,  1.83987, -61.88514,  1.83741, -59.84205,LC08_L2SP_232058_20130928_20200912_02_T1,LC82320582013271LGN01
LC08_L2SP_231058_20131007_20200913_02_T1,LC08_L1TP_231058_20131007_20200913_02_T1,LC82310582013280LGN01,2013/10/07,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/13,2020/09/13,2013-10-07 14:12:57.989053,2013-10-07 14:13:29.759049,LGN,DAY,  41.50,  41.50,261,5,    7.253,    5.151,    5.106,LPGS_15.3.1c,65.51264897,110.55547044,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.62"N,59°19'40.76"W,3°56'12.73"N,60°21'22.39"W,3°56'33.50"N,58°18'15.23"W,1°50'13.38"N,60°21'00.18"W,1°50'23.06"N,58°18'06.62"W,  2.89295, -59.32799,  3.93687, -60.35622,  3.94264, -58.30423,  1.83705, -60.35005,  1.83974, -58.30184,LC08_L2SP_231058_20131007_20200913_02_T1,LC82310582013280LGN01
LC08_L2SP_232058_20131014_20200912_02_T1,LC08_L1TP_232058_20131014_20200912_02_T1,LC82320582013287LGN01,2013/10/14,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-10-14 14:19:07.532599,2013-10-14 14:19:39.302595,LGN,DAY,  66.92,  66.92,246,5,    7.655,    5.817,    4.976,LPGS_15.3.1c,64.89301913,116.76367769,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.29"N,60°52'32.88"W,3°56'24.76"N,61°53'47.76"W,3°56'05.93"N,59°51'08.78"W,1°50'23.57"N,61°53'55.07"W,1°50'14.75"N,59°51'29.56"W,  2.89258, -60.87580,  3.94021, -61.89660,  3.93498, -59.85244,  1.83988, -61.89863,  1.83743, -59.85821,LC08_L2SP_232058_20131014_20200912_02_T1,LC82320582013287LGN01
LC08_L2SP_231058_20131023_20200912_02_T1,LC08_L1TP_231058_20131023_20200912_02_T1,LC82310582013296LGN02,2013/10/23,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-10-23 14:12:51.60618,2013-10-23 14:13:23.376176,LGN,DAY,  33.11,  33.11,312,5,    6.678,    4.815,    4.626,LPGS_15.3.1c,63.67448422,123.75622903,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.65"N,59°19'09.91"W,3°56'12.88"N,60°20'53.23"W,3°56'33.54"N,58°17'46.07"W,1°50'13.45"N,60°20'31.09"W,1°50'23.10"N,58°17'37.46"W,  2.89268, -59.31942,  3.93691, -60.34812,  3.94265, -58.29613,  1.83707, -60.34197,  1.83975, -58.29374,LC08_L2SP_231058_20131023_20200912_02_T1,LC82310582013296LGN02
LC08_L2SP_232058_20131030_20200912_02_T1,LC08_L1TP_232058_20131030_20200912_02_T1,LC82320582013303LGN01,2013/10/30,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-10-30 14:18:58.917165,2013-10-30 14:19:30.687161,LGN,DAY,  50.48,  50.48,133,5,    8.870,    6.103,    6.437,LPGS_15.3.1c,62.47021517,128.26820910,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.44"N,60°51'32.15"W,3°56'24.68"N,61°52'49.40"W,3°56'05.68"N,59°50'00.78"W,1°50'23.53"N,61°52'56.82"W,1°50'14.64"N,59°50'21.70"W,  2.89290, -60.85893,  3.94019, -61.88039,  3.93491, -59.83355,  1.83987, -61.88245,  1.83740, -59.83936,LC08_L2SP_232058_20131030_20200912_02_T1,LC82320582013303LGN01
LC08_L2SP_231058_20131108_20200912_02_T1,LC08_L1TP_231058_20131108_20200912_02_T1,LC82310582013312LGN01,2013/11/08,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-11-08 14:12:49.357334,2013-11-08 14:13:21.12733,LGN,DAY,  66.93,  66.93,239,5,    7.101,    4.978,    5.065,LPGS_15.3.1c,60.72756377,132.79179666,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.25"N,59°19'54.52"W,3°56'12.70"N,60°21'32.08"W,3°56'33.47"N,58°18'34.70"W,1°50'13.38"N,60°21'09.86"W,1°50'23.06"N,58°18'26.03"W,  2.89257, -59.33181,  3.93686, -60.35891,  3.94263, -58.30964,  1.83705, -60.35274,  1.83974, -58.30723,LC08_L2SP_231058_20131108_20200912_02_T1,LC82310582013312LGN01
LC08_L2SP_232058_20131115_20200912_02_T1,LC08_L1TP_232058_20131115_20200912_02_T1,LC82320582013319LGN01,2013/11/15,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-11-15 14:18:57.29507,2013-11-15 14:19:29.065066,LGN,DAY,  31.96,  31.96,367,5,    7.192,    4.991,    5.178,LPGS_15.3.1c,59.31718313,135.36132332,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.50"N,60°52'29.64"W,3°56'24.76"N,61°53'47.76"W,3°56'05.89"N,59°50'59.06"W,1°50'23.57"N,61°53'55.07"W,1°50'14.75"N,59°51'19.87"W,  2.89264, -60.87490,  3.94021, -61.89660,  3.93497, -59.84974,  1.83988, -61.89863,  1.83743, -59.85552,LC08_L2SP_232058_20131115_20200912_02_T1,LC82320582013319LGN01
LC08_L2SP_231058_20131124_20200912_02_T1,LC08_L1TP_231058_20131124_20200912_02_T1,LC82310582013328LGN01,2013/11/24,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-11-24 14:12:40.483107,2013-11-24 14:13:12.253103,LGN,DAY,  48.82,  48.82,186,5,    7.552,    5.306,    5.374,LPGS_15.3.1c,57.55448645,137.53380912,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.80"N,59°19'10.67"W,3°56'12.88"N,60°20'53.23"W,3°56'33.54"N,58°17'46.07"W,1°50'13.45"N,60°20'31.09"W,1°50'23.10"N,58°17'37.46"W,  2.89300, -59.31963,  3.93691, -60.34812,  3.94265, -58.29613,  1.83707, -60.34197,  1.83975, -58.29374,LC08_L2SP_231058_20131124_20200912_02_T1,LC82310582013328LGN01
LC08_L2SP_232058_20131201_20200912_02_T1,LC08_L1TP_232058_20131201_20200912_02_T1,LC82320582013335LGN01,2013/12/01,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-12-01 14:18:52.881578,2013-12-01 14:19:24.651574,LGN,DAY,  94.22,  94.22,57,5,    9.806,    7.407,    6.425,LPGS_15.3.1c,56.29352258,138.43137437,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.66"N,60°52'58.08"W,3°56'24.79"N,61°54'16.96"W,3°56'06"N,59°51'28.22"W,1°50'23.57"N,61°54'24.19"W,1°50'14.78"N,59°51'48.96"W,  2.89296, -60.88280,  3.94022, -61.90471,  3.93500, -59.85784,  1.83988, -61.90672,  1.83744, -59.86360,LC08_L2SP_232058_20131201_20200912_02_T1,LC82320582013335LGN01
LC08_L2SP_231058_20131210_20200912_02_T1,LC08_L1TP_231058_20131210_20200912_02_T1,LC82310582013344LGN01,2013/12/10,T1,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-12-10 14:12:40.271711,2013-12-10 14:13:12.041707,LGN,DAY,  29.84,  29.84,359,5,    6.957,    5.038,    4.798,LPGS_15.3.1c,54.90562266,138.68826562,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.37"N,59°20'50.71"W,3°56'12.44"N,60°22'40.08"W,3°56'33.40"N,58°19'23.34"W,1°50'13.24"N,60°22'17.72"W,1°50'23.03"N,58°19'14.56"W,  2.89288, -59.34742,  3.93679, -60.37780,  3.94261, -58.32315,  1.83701, -60.37159,  1.83973, -58.32071,LC08_L2SP_231058_20131210_20200912_02_T1,LC82310582013344LGN01
LC08_L2SP_232058_20131217_20200912_02_T1,LC08_L1TP_232058_20131217_20200912_02_T1,LC82320582013351LGN01,2013/12/17,T1,2, 232, 058, 232, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-12-17 14:18:45.434209,2013-12-17 14:19:17.204205,LGN,DAY,  50.23,  50.23,281,5,    7.896,    5.668,    5.497,LPGS_15.3.1c,54.05916228,138.27740023,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.15"N,60°52'54.91"W,3°56'24.79"N,61°54'16.96"W,3°56'06"N,59°51'28.22"W,1°50'23.57"N,61°54'24.19"W,1°50'14.78"N,59°51'48.96"W,  2.89282, -60.88192,  3.94022, -61.90471,  3.93500, -59.85784,  1.83988, -61.90672,  1.83744, -59.86360,LC08_L2SP_232058_20131217_20200912_02_T1,LC82320582013351LGN01
LC08_L2SP_231058_20131226_20200912_02_T2,LC08_L1GT_231058_20131226_20200912_02_T2,LC82310582013360LGN01,2013/12/26,T2,2, 231, 058, 231, 058,NADIR,   0.000,2020/09/12,2020/09/12,2013-12-26 14:12:31.036448,2013-12-26 14:13:02.806444,LGN,DAY,  99.98,  99.98,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,53.31634663,137.05024464,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.72"N,59°20'28.03"W,3°56'12.55"N,60°22'10.92"W,3°56'33.40"N,58°19'03.86"W,1°50'13.31"N,60°21'48.67"W,1°50'23.03"N,58°18'55.15"W,  2.89270, -59.34112,  3.93682, -60.36970,  3.94261, -58.31774,  1.83703, -60.36352,  1.83973, -58.31532,LC08_L2SP_231058_20131226_20200912_02_T2,LC82310582013360LGN01
